text,label
"Highly recommend this hotel, such a smooth experience.",positive
"This is one of the best books I've tried, really fantastic.",positive
"Amazing app, I would definitely buy again.",positive
"Fantastic book, totally worth the price.",positive
"I do not recommend this headphones, such a horrible experience.",negative
"Great hotel, the quality is reliable and I'm satisfied.",positive
"This is one of the best games I've tried, really wonderful.",positive
"Terrible game, the quality is useless and I regret buying it.",negative
"Great movie, the quality is wonderful and I'm satisfied.",positive
"I am very happy with this restaurant, it works smoothly.",positive
"This hotel was really uncomfortable, I hated it.",negative
"This is one of the best restaurants I've tried, really useful.",positive
"Terrible game, the quality is bad and I regret buying it.",negative
The laptop felt very fantastic and well made.,positive
"I am very disappointed with this movie, it works barely.",negative
"Great laptop, the quality is wonderful and I'm satisfied.",positive
"Fantastic hotel, totally worth the price.",positive
"I am very happy with this headphones, it works flawlessly.",positive
"The laptop did not meet my expectations, really horrible.",negative
"Great app, the quality is great and I'm satisfied.",positive
"Highly recommend this headphones, such a reliable experience.",positive
"I hated using this headphones, everything was cheap.",negative
"I hated using this book, everything was uncomfortable.",negative
"I am very disappointed with this movie, it works poorly.",negative
"This is one of the worst apps I've tried, really terrible.",negative
"The book exceeded my expectations, really smooth.",positive
"This is one of the worst courses I've tried, really frustrating.",negative
"This restaurant was really frustrating, I hated it.",negative
The hotel felt very bad and poorly made.,negative
"Terrible movie, the quality is uncomfortable and I regret buying it.",negative
"Fantastic app, totally worth the price.",positive
"I do not recommend this phone, such a noisy experience.",negative
"The headphones did not meet my expectations, really noisy.",negative
"The app did not meet my expectations, really noisy.",negative
"This game was absolutely comfortable, I loved it.",positive
"I am very disappointed with this game, it works barely.",negative
"The book did not meet my expectations, really disappointing.",negative
"I am very happy with this phone, it works reliably.",positive
"The hotel exceeded my expectations, really great.",positive
"This is one of the best courses I've tried, really fantastic.",positive
"Terrible movie, the quality is uncomfortable and I regret buying it.",negative
"This is one of the best movies I've tried, really smooth.",positive
"This is one of the best phones I've tried, really smooth.",positive
"Amazing book, I would definitely buy again.",positive
"I am very happy with this movie, it works reliably.",positive
"This is one of the best hotels I've tried, really impressive.",positive
"I hated using this phone, everything was bad.",negative
"Awful phone, totally not worth the price.",negative
"Highly recommend this game, such a impressive experience.",positive
"Fantastic phone, totally worth the price.",positive
"Terrible game, the quality is noisy and I regret buying it.",negative
"Awful phone, totally not worth the price.",negative
The phone felt very horrible and poorly made.,negative
"Disappointing headphones, I would never buy again.",negative
"This is one of the best headphoness I've tried, really amazing.",positive
"Fantastic course, totally worth the price.",positive
The book felt very bad and poorly made.,negative
"The book did not meet my expectations, really uncomfortable.",negative
"I hated using this hotel, everything was cheap.",negative
"Disappointing movie, I would never buy again.",negative
"I hated using this laptop, everything was horrible.",negative
"This is one of the worst headphoness I've tried, really frustrating.",negative
"This headphones was absolutely impressive, I loved it.",positive
"The restaurant did not meet my expectations, really bad.",negative
"Fantastic course, totally worth the price.",positive
"Awful book, totally not worth the price.",negative
"This is one of the worst apps I've tried, really uncomfortable.",negative
"Disappointing laptop, I would never buy again.",negative
"The restaurant exceeded my expectations, really impressive.",positive
"Terrible headphones, the quality is noisy and I regret buying it.",negative
"This game was absolutely fantastic, I loved it.",positive
"I am very happy with this game, it works flawlessly.",positive
"I am very happy with this headphones, it works flawlessly.",positive
"Fantastic restaurant, totally worth the price.",positive
"I do not recommend this book, such a uncomfortable experience.",negative
"Awful app, totally not worth the price.",negative
"Highly recommend this game, such a reliable experience.",positive
"The movie did not meet my expectations, really terrible.",negative
"I am very happy with this app, it works flawlessly.",positive
"This phone was really uncomfortable, I hated it.",negative
The book felt very bad and poorly made.,negative
"I am very happy with this game, it works beautifully.",positive
"Terrible book, the quality is frustrating and I regret buying it.",negative
"This is one of the best apps I've tried, really amazing.",positive
"Disappointing hotel, I would never buy again.",negative
"Terrible headphones, the quality is terrible and I regret buying it.",negative
"This is one of the best laptops I've tried, really great.",positive
"I am very happy with this laptop, it works reliably.",positive
"This movie was really cheap, I hated it.",negative
"Terrible hotel, the quality is noisy and I regret buying it.",negative
"The book exceeded my expectations, really useful.",positive
"This hotel was really uncomfortable, I hated it.",negative
"I am very happy with this laptop, it works smoothly.",positive
"This app was absolutely smooth, I loved it.",positive
The phone felt very comfortable and well made.,positive
"Fantastic laptop, totally worth the price.",positive
"This is one of the best books I've tried, really useful.",positive
"I do not recommend this phone, such a frustrating experience.",negative
"Amazing movie, I would definitely buy again.",positive
The laptop felt very impressive and well made.,positive
"I am very happy with this game, it works perfectly.",positive
"Great movie, the quality is reliable and I'm satisfied.",positive
"Amazing headphones, I would definitely buy again.",positive
"This phone was absolutely excellent, I loved it.",positive
"Disappointing course, I would never buy again.",negative
"This is one of the worst headphoness I've tried, really buggy.",negative
"Highly recommend this movie, such a impressive experience.",positive
"This laptop was really buggy, I hated it.",negative
"This laptop was absolutely great, I loved it.",positive
"I hated using this app, everything was buggy.",negative
"I am very happy with this hotel, it works beautifully.",positive
"I am very happy with this movie, it works flawlessly.",positive
"This restaurant was absolutely useful, I loved it.",positive
"Disappointing app, I would never buy again.",negative
"This is one of the best courses I've tried, really impressive.",positive
"The laptop did not meet my expectations, really horrible.",negative
"Highly recommend this hotel, such a wonderful experience.",positive
The laptop felt very buggy and poorly made.,negative
"I am very disappointed with this laptop, it works slowly.",negative
"I am very happy with this app, it works beautifully.",positive
"Fantastic course, totally worth the price.",positive
"Highly recommend this restaurant, such a wonderful experience.",positive
"I enjoyed using this course, everything was smooth.",positive
"Great game, the quality is comfortable and I'm satisfied.",positive
"I hated using this restaurant, everything was horrible.",negative
"This is one of the best courses I've tried, really excellent.",positive
"This book was really buggy, I hated it.",negative
"The game exceeded my expectations, really excellent.",positive
"This restaurant was absolutely excellent, I loved it.",positive
"This is one of the best phones I've tried, really useful.",positive
"I am very disappointed with this headphones, it works poorly.",negative
"Highly recommend this game, such a impressive experience.",positive
"Awful movie, totally not worth the price.",negative
The book felt very comfortable and well made.,positive
The book felt very frustrating and poorly made.,negative
"I do not recommend this restaurant, such a cheap experience.",negative
The app felt very useless and poorly made.,negative
"I do not recommend this laptop, such a bad experience.",negative
"Fantastic movie, totally worth the price.",positive
"Highly recommend this book, such a fantastic experience.",positive
"This headphones was really useless, I hated it.",negative
"Awful phone, totally not worth the price.",negative
"I am very happy with this headphones, it works flawlessly.",positive
"I am very happy with this laptop, it works perfectly.",positive
"Great game, the quality is excellent and I'm satisfied.",positive
"Disappointing restaurant, I would never buy again.",negative
"I am very happy with this hotel, it works flawlessly.",positive
"Fantastic game, totally worth the price.",positive
The course felt very wonderful and well made.,positive
"Highly recommend this restaurant, such a smooth experience.",positive
"This phone was absolutely wonderful, I loved it.",positive
"I enjoyed using this app, everything was reliable.",positive
"The phone exceeded my expectations, really impressive.",positive
"I do not recommend this game, such a frustrating experience.",negative
"Awful hotel, totally not worth the price.",negative
"Great restaurant, the quality is reliable and I'm satisfied.",positive
"The game did not meet my expectations, really uncomfortable.",negative
"Amazing game, I would definitely buy again.",positive
"Great restaurant, the quality is useful and I'm satisfied.",positive
"Terrible headphones, the quality is disappointing and I regret buying it.",negative
"Highly recommend this headphones, such a smooth experience.",positive
The course felt very cheap and poorly made.,negative
"The hotel did not meet my expectations, really cheap.",negative
The restaurant felt very smooth and well made.,positive
"I hated using this restaurant, everything was bad.",negative
"I do not recommend this laptop, such a frustrating experience.",negative
"Terrible movie, the quality is horrible and I regret buying it.",negative
"This headphones was absolutely comfortable, I loved it.",positive
"This is one of the best laptops I've tried, really reliable.",positive
"I enjoyed using this phone, everything was comfortable.",positive
"This is one of the worst phones I've tried, really terrible.",negative
